conversation_id_str;created_at;favorite_count;full_text;id_str;image_url;in_reply_to_screen_name;lang;location;quote_count;reply_count;retweet_count;tweet_url;user_id_str;username
1,93112E+18;Fri Jun 06 22:25:34 +0000 2025;0;Sender nya kayaknya baru pertama kali ke luar negeri selama ini tinggal di perkampungan jamet sound horeg.;1,93112E+18;;;in;;0;0;0;https://x.com/undefined/status/1931115274557858212;1,24826E+18;
1,93094E+18;Fri Jun 06 20:03:28 +0000 2025;0;@lyouif gatau gw liat di reels yang ada sound dubstep horeg tukang tambal ban terus speakernya mleduk power off ;1,93108E+18;;lyouif;in;;0;0;0;https://x.com/undefined/status/1931079514114986052;9,54683E+17;
1,93059E+18;Fri Jun 06 19:14:10 +0000 2025;0;@goblok_bangettt Kalau sampai sound horeg masuk Kalimantan gw tendang sumpah mereka semua.;1,93107E+18;;akusukaabakso;in;;0;0;0;https://x.com/undefined/status/1931067108496126010;1,73954E+18;
1,93106E+18;Fri Jun 06 19:04:09 +0000 2025;1;Daripada mayah mayah mending jj. Biar kaya lagi di angkot padang spek sound horeg ;1,93106E+18;;;in;;0;1;0;https://x.com/undefined/status/1931064588063158463;1,91147E+18;
1,93105E+18;Fri Jun 06 18:21:54 +0000 2025;0;Dulu ga tau kalau itu namanya sound horeg dan sampe sekarang belum dapet jawaban kenapa itu sound dijogetin wkwkw;1,93105E+18;;;in;;0;0;0;https://x.com/undefined/status/1931053952830947666;1,07506E+18;
1,93105E+18;Fri Jun 06 18:12:58 +0000 2025;0;kelinciku mati gara2 kaget sound horeg pas takbiran sikil e patah. Tak dungakno seng nyetel sound horeg urip e gak tenang sampe mati!! #soundhoreg;1,93105E+18;;;in;;0;0;0;https://x.com/undefined/status/1931051705627775350;8,19008E+17;
1,93105E+18;Fri Jun 06 17:52:44 +0000 2025;0;iki sdm e wong malang coret wes ga ketolong mbek idealis mberot dan sound horeg alias goublog nyetel sound mulai jam 12 sampe yamene.;1,93105E+18;;;in;;0;2;0;https://x.com/undefined/status/1931046612224393235;1,5599E+18;
1,93059E+18;Fri Jun 06 17:21:50 +0000 2025;0;@goblok_bangettt Tolol bat yang masih make sound horeg. Ga cuma kuping yang mati otak juga mati;1,93104E+18;;akusukaabakso;in;;0;0;0;https://x.com/undefined/status/1931038837486346320;1,3109E+18;
1,93089E+18;Fri Jun 06 16:38:21 +0000 2025;0;@Murkstone kalau ga naik aku protes sambil bawa spanduk + sound horeg.;1,93103E+18;;;in;;0;0;0;https://x.com/undefined/status/1931027895637655758;290502219;
1,93103E+18;Fri Jun 06 16:34:13 +0000 2025;1;Aku pisanan nonton Metallica gumun cah. Sound-nya itu bisa menembus dada jedug-jedug ngono. Sound horeg we kalah.;1,93103E+18;;;in;;0;0;0;https://x.com/undefined/status/1931026854993076575;78936263;
1,93103E+18;Fri Jun 06 16:29:56 +0000 2025;0;Too much gak gw minta mereka collab..... If one day mereka collab gatau deh... im gonna screaming crying and blasting the song with sound horeg biar seluruh kabupaten sleman denger https://t.co/Gw2JSO4Op4;1,93103E+18;https://pbs.twimg.com/media/GsxhtadbIAEPfyl.jpg;;in;;0;0;0;https://x.com/undefined/status/1931025777761681530;1,14566E+18;
1,93103E+18;Fri Jun 06 16:28:24 +0000 2025;0;bang elu gede bener kayak sound horeg;1,93103E+18;;;in;;0;1;0;https://x.com/undefined/status/1931025390459601204;1,68271E+18;
1,93102E+18;Fri Jun 06 16:26:29 +0000 2025;0;@sbyfess Kalo ga sound horeg ya bocil2 bermulut racun;1,93102E+18;;sbyfess;in;;0;0;0;https://x.com/undefined/status/1931024909616177403;1,92547E+18;
1,93091E+18;Fri Jun 06 16:17:25 +0000 2025;0;@oceanbluum pemain sound horeg sebelum muter musik be like: https://t.co/vkbJ5hvz3p;1,93102E+18;https://pbs.twimg.com/media/Gsxe1h4bwAA_IL-.png;oceanbluum;in;;0;1;0;https://x.com/undefined/status/1931022625129869726;1,62652E+18;
1,93093E+18;Fri Jun 06 16:12:39 +0000 2025;0;@weaupon Kemarin diajak lihat takbir keliling dengan sound horeg gak? Haha;1,93102E+18;;weaupon;in;;0;1;0;https://x.com/undefined/status/1931021428008341953;1,21E+18;
1,93102E+18;Fri Jun 06 16:10:02 +0000 2025;0;@dieforeme Udah kayak sound horeg ini;1,93102E+18;;diedyoshida;in;;0;2;0;https://x.com/undefined/status/1931020769364197696;1,71053E+18;
1,93102E+18;Fri Jun 06 15:56:01 +0000 2025;15;#NAME?;1,93102E+18;;;in;;1;7;0;https://x.com/undefined/status/1931017239190458829;1,15244E+18;
1,93027E+18;Fri Jun 06 15:55:21 +0000 2025;0;@cutesydongren BERIKAN AK JADWAL NANTI COLONG SOUND HOREG;1,93102E+18;;cutesydongren;in;;0;0;0;https://x.com/undefined/status/1931017071942578579;1,10001E+18;
1,93101E+18;Fri Jun 06 15:30:17 +0000 2025;0;Bjirrrrr ditempatku dah ada sound horeg astagaaaa;1,93101E+18;;;in;;0;1;0;https://x.com/undefined/status/1931010765244522867;1,91797E+18;
1,93101E+18;Fri Jun 06 15:22:33 +0000 2025;0;Can relate. Rumah di depan masjid banget sama sekali gak bisa tidur pdhl besoknya harus bangun pagi sholat bener2 non stop pake mic luar suaranya udah kayak sound horeg;1,93101E+18;;;in;;0;0;0;https://x.com/undefined/status/1931008819951472885;1885486645;
1,93071E+18;Fri Jun 06 15:20:18 +0000 2025;1;@likecruelsummer @jojonrex @tanyakanrl Yg dipermasalahin tu VOLUMEnya bukan takbirannya sendiri kocak. Orang muslim sendiri aja pada kesel kalo masjid/musholla takbiran pake volume sekenceng sound horeg.;1,93101E+18;;likecruelsummer;in;;0;0;0;https://x.com/undefined/status/1931008251484938334;1,71649E+18;
1,93058E+18;Fri Jun 06 15:10:04 +0000 2025;1;@Wan77575 Lebih alim ya Kalau d Jawa Sekarang kalau takbir wah rame pakai sound horeg;1,93101E+18;;Wan77575;in;;0;1;0;https://x.com/undefined/status/1931005675641131252;1,43487E+18;
1,931E+18;Fri Jun 06 14:38:42 +0000 2025;0;Haduh kau main sm yang join sound horeg tu iya;1,931E+18;;;in;;0;0;0;https://x.com/undefined/status/1930997784670544122;1,17776E+18;
1,931E+18;Fri Jun 06 14:35:19 +0000 2025;2;ada cara lain biar kalian bisa bangun cepet. pake sound horeg dijamin langsung bangun @.idid;1,931E+18;;;in;;0;0;0;https://x.com/undefined/status/1930996933105254701;9,72777E+17;
1,93059E+18;Fri Jun 06 14:19:18 +0000 2025;0;@goblok_bangettt Kemarin malam jg gtu disini aku hbs pulang dari rumah kakakku harus nyelempit2 dlu krn ada truk isi sound horeg lagi keliling dengan sound bergetar dan keras + lampu di pasar malam;1,93099E+18;;akusukaabakso;in;;0;0;0;https://x.com/undefined/status/1930992900080607467;1,53915E+18;
1,93099E+18;Fri Jun 06 14:05:11 +0000 2025;0;@eunoia_astro Betul kak (menjawab sambil joged dengerin lagu sound horeg);1,93099E+18;;eunoia_astro;in;;0;1;0;https://x.com/undefined/status/1930989347064705111;1,06034E+18;
1,93096E+18;Fri Jun 06 13:47:17 +0000 2025;0;@eunoia_astro Maapin ya kak Astro aku pawai sound horeg depan rumahmu ;1,93098E+18;;eunoia_astro;in;;0;1;0;https://x.com/undefined/status/1930984845620175106;1,06034E+18;
1,93098E+18;Fri Jun 06 13:28:26 +0000 2025;0;plis gw sudah muak dengan sound horeg;1,93098E+18;;;in;;0;0;0;https://x.com/undefined/status/1930980101593903612;1,89169E+18;
1,93098E+18;Fri Jun 06 13:18:22 +0000 2025;0;@nakerukeshina sound horeg menghancurkan dunia ;1,93098E+18;;nakerukeshina;in;;0;0;0;https://x.com/undefined/status/1930977566963458330;1,61098E+18;
1,93059E+18;Fri Jun 06 12:57:04 +0000 2025;0;@goblok_bangettt Emakku sampai marah² sound horeg lewat depan rumahnya jejer² geter semua mana dung dung dung gitu dj-an bukan takbiran hari raya ;1,93097E+18;;akusukaabakso;in;;0;0;0;https://x.com/undefined/status/1930972208672968864;4363359373;
1,93097E+18;Fri Jun 06 12:53:26 +0000 2025;0;eh gw juga punya yang sama kaya gini pas DE 2017 persis bgt: foto nge blur video sound horeg ;1,93097E+18;;;in;;0;1;0;https://x.com/undefined/status/1930971291831648665;1127814788;
1,93083E+18;Fri Jun 06 12:39:34 +0000 2025;0;@tubbirfess alasan aku dengernya sound horeg @anotheze;1,93097E+18;;tubbirfess;in;;0;1;0;https://x.com/undefined/status/1930967803928121707;1,78918E+18;
1,9307E+18;Fri Jun 06 12:20:19 +0000 2025;0;@ichigonna Standarnya begeser ke bidadari sound horeg pula. Salut aku luar biasa pedenya.;1,93096E+18;;ichigonna;in;;0;1;0;https://x.com/undefined/status/1930962960169742636;68292729;
1,93096E+18;Fri Jun 06 12:09:46 +0000 2025;0;@LarkspurKim17 Ikut jemput san aku mau bawaa sound horeg;1,93096E+18;;whitelarkspur_;in;;0;1;0;https://x.com/undefined/status/1930960301547253780;1,68315E+18;
