conversation_id_str;created_at;favorite_count;raw_text;clean_text;label
1,85E+18;Sat Oct 26 20:32:59 +0000 2024;0;@ramaArsy1 Testimoni dariku org Jatim yg yg jg jijik sama hal ginian. Anakku pernah disuruh minum obat tidur sama RT biar ga keganggu sama sound horeg gini yg diputer tetangga ibuku. Udh ditegur baik2 toh anaku ga tiap hari dirumah ibuku cuman pas weekend doang. Malah nantangin suruh lapor;testimoni dari orang jawa timur jijik sama ginian anak pernah suruh minum obat tidur sama rt biar tidak ganggu sama sound horeg begini puter tetangga ibu tegur baik ana tidak tiap hari rumah ibu cuma pas weekend malah nantangin suruh lapor;1
1,85E+18;Sat Oct 26 20:32:56 +0000 2024;0;dosa apa warga jatim ini hobi kok elek bgt sound horeg;dosa apa warga jawa timur hobi kok jelek banget sound horeg;2
1,85E+18;Sat Oct 26 20:28:29 +0000 2024;1;Yok opo lek antar match ufc iki onok sound horeg e cek ditayar wong sak arena;ayo apa kalau antar match ufc sound horeg nya ditayar orang satu arena;2
1,85E+18;Sat Oct 26 20:27:59 +0000 2024;0;gagal paham dengan esensi sound horeg;gagal paham esensi sound horeg;0
1,85E+18;Sat Oct 26 20:27:00 +0000 2024;0;Orang-orang ini kayanya harus ke rumah sakit jiwa deh jam segini nyalain sound horeg. Tadinya ga yakin karena samar suaranya tapi lama-lama makin jelas;orang orang kaya rumah sakit jiwa deh jam gin nyalain sound horeg tadi tidak yakin samar suara lama lama makin jelas;1
1,85E+18;Sat Oct 26 20:23:46 +0000 2024;0;@HoeCarli @anonjawa Apa hubungan nya kemajuan negara? Sama sound horeg? Pekok;apa hubung nya maju negara kata tanya sama sound horeg kata tanya bodoh;2
1,85E+18;Sat Oct 26 20:22:18 +0000 2024;0;@QuoteAja LEBIH RENDAH DARI SDM SOUND HOREG!;lebih rendah sdm sound horeg kata seru;2
1,85E+18;Sat Oct 26 20:21:14 +0000 2024;0;@ramaArsy1 kok bisa ya ada yang seneng sound horeg;kok neng sound horeg;2
1,85E+18;Sat Oct 26 20:09:21 +0000 2024;2;gilak sound horeg pesona gondanglegi kedengeran ampe malang kota ;gila sound horeg pesona gondanglegi kedengeran ampe malang kota;2
1,85E+18;Sat Oct 26 20:03:18 +0000 2024;0;@ramaArsy1 Berikut list2 di bawah ini : - penyedia sound - kru sound - yang ikut ngarak - yang ngerusak fasum dan semua yang ikut serta dalam budaya sound horeg goblok ini gendang telinganya pecah pendarahan otak budeg mimisan susah berak mampus lu pada bangsaaaat!!!!;ikut list2 bawah sedia sound kru sound ikut ngarak ngerusak fasum semua ikut budaya sound horeg bodoh gendang telinga pecah darah otak budeg mimisan susah berak mampus kamu bangsaaaat kata seru;1
